,rank,name,address,phone number,url,website,rating,number of reviews,tag,how many $ sign,delivery tag etc.,whether can be ordered on yelp,geolocation
0,1, Uncle Benny’s Donut and Bagel,,NULL,https://www.yelp.com/biz/uncle-bennys-donut-and-bagel-san-francisco?osq=Donut+Shop,NULL,4.5,394,"['Donuts', 'Bagels', 'Coffee & Tea']",$$,"{'Outdoor dining': 0, 'Delivery': 1, 'Takeout': 1}",yes,"('', '')"
1,2, Bob’s Donuts & Pastry Shop,"1621 Polk St San Francisco, CA 94109",(415) 776-3141,https://www.yelp.com/biz/bobs-donuts-and-pastry-shop-san-francisco?osq=Donut+Shop,http://www.bobsdonutssf.com,4.5,3334,"['Bakeries', 'Donuts']",$,NULL,no,"(-122.421276, 37.791852)"
2,3, Bob’s Donuts,,NULL,https://www.yelp.com/biz/bobs-donuts-san-francisco-2?osq=Donut+Shop,NULL,4.5,121,"['Donuts', 'Bakeries']",$,{'Takeout': 1},no,"('', '')"
3,4, All Star Donuts,"901 Clement St San Francisco, CA 94118",(415) 221-9838,https://www.yelp.com/biz/all-star-donuts-san-francisco-3?osq=Donut+Shop,NULL,4,280,"['Donuts', 'Sandwiches', 'Coffee & Tea']",$,"{'Delivery': 1, 'Takeout': 1}",yes,"(-122.468983, 37.782559)"
4,5, Mochill Mochi Donut,"1737 Post St Ste 395 San Francisco, CA 94115",(650) 619-2462,https://www.yelp.com/biz/mochill-mochi-donut-san-francisco?osq=Donut+Shop,https://www.mochillsf.com,4.5,820,['Donuts'],NULL,"{'Delivery': 1, 'Takeout': 1}",yes,"(-122.431272, 37.778008)"
5,6, Twisted Donuts and Coffee,"1243 Noriega St San Francisco, CA 94122",(415) 463-5437,https://www.yelp.com/biz/twisted-donuts-and-coffee-san-francisco?osq=Donut+Shop,http://twisteddonutsf.com,4.5,508,"['Donuts', 'Bakeries']",$,"{'Delivery': 0, 'Takeout': 1}",no,"(-122.477233, 37.754095)"
6,7, Dynamo Donut & Coffee,"2760 24th St San Francisco, CA 94110",(415) 920-1978,https://www.yelp.com/biz/dynamo-donut-and-coffee-san-francisco-4?osq=Donut+Shop,http://www.dynamodonut.com,4,1945,"['Coffee & Tea', 'Donuts', 'Patisserie/Cake Shop']",$,"{'Delivery': 1, 'Takeout': 1, 'Curbside Pickup': 1}",no,"(-122.407644, 37.753022)"
7,8, Donut World,"1399 9th Ave San Francisco, CA 94122",(415) 665-4240,https://www.yelp.com/biz/donut-world-san-francisco?osq=Donut+Shop,NULL,4,275,"['Coffee & Tea', 'Donuts']",$,{'Takeout': 1},no,"(-122.466344, 37.762306)"
8,9, Golden Donuts,"5401 Geary Blvd San Francisco, CA 94121",(415) 422-0623,https://www.yelp.com/biz/golden-donuts-san-francisco?osq=Donut+Shop,NULL,4,125,"['Donuts', 'Coffee & Tea', 'Sandwiches']",$,{'Outdoor dining': 1},no,"(-122.477407, 37.780247)"
9,10, The Jelly Donut,"3198 24th St San Francisco, CA 94110",(415) 648-1419,https://www.yelp.com/biz/the-jelly-donut-san-francisco?osq=Donut+Shop,http://the-jelly-donut-san-fra…,4.5,274,"['Donuts', 'Coffee & Tea']",$,NULL,no,"(-122.416148, 37.752483)"
10,11, Happy Donuts,"3801 24th St San Francisco, CA 94114",(415) 285-5890,https://www.yelp.com/biz/happy-donuts-san-francisco-18?osq=Donut+Shop,NULL,4,269,"['Donuts', 'Coffee & Tea']",$,NULL,no,"(-122.427598, 37.751594)"
